date,description,amount,category,client
2026-01-31,AWS cloud infrastructure,-199.47,Infrastructure,
2026-07-12,Office rent,-957.36,Rent,
2026-02-15,AWS cloud infrastructure,-199.87,Infrastructure,
2026-03-27,Client Beta invoice payment,3454.24,Revenue,Client Beta
2026-07-04,AWS cloud infrastructure,-180.51,Infrastructure,
2026-07-10,Client Beta invoice payment,3376.47,Revenue,Client Beta
2026-02-13,Client Gamma invoice payment,2319.55,Revenue,Client Gamma
2026-06-01,Canva subscription,-16.74,Software,
2026-02-07,Team salary payroll,-1908.67,Payroll,
2026-05-02,Business travel fuel,-162.31,Travel,
2026-02-09,Project management software,-50.52,Software,
2026-01-06,Client Alpha invoice payment,4677.91,Revenue,Client Alpha
2026-07-05,Business travel fuel,-123.75,Travel,
2026-07-11,Client Gamma invoice payment,2681.52,Revenue,Client Gamma
2026-08-12,Office rent,-1066.5,Rent,
2026-02-24,Client Alpha invoice payment,3919.04,Revenue,Client Alpha
2026-03-16,Project management software,-45.54,Software,
2026-05-31,Google Ads marketing,-271.32,Marketing,
2026-04-18,Client Gamma invoice payment,2349.27,Revenue,Client Gamma
2026-07-09,Google Ads marketing,-332.41,Marketing,
2026-06-19,Team salary payroll,-1902.24,Payroll,
2026-05-13,AWS cloud infrastructure,-202.13,Infrastructure,
2026-08-13,Project management software,-43.76,Software,
2026-02-08,Project management software,-49.91,Software,
2026-08-12,Canva subscription,-16.59,Software,
2026-06-05,Client Alpha invoice payment,4645.59,Revenue,Client Alpha
2026-02-08,Client Gamma invoice payment,2421.13,Revenue,Client Gamma
2026-06-08,Client dinner restaurant,-75.63,Meals,Client Alpha
2026-01-16,Google Ads marketing,-311.8,Marketing,
2026-05-16,Project management software,-49.45,Software,
2026-07-18,Client Beta invoice payment,3538.54,Revenue,Client Beta
2026-01-15,Office rent,-867.47,Rent,
2026-01-11,Internet utilities,-83.81,Utilities,
2026-04-26,Project management software,-42.1,Software,
2026-08-17,Client Beta invoice payment,3088.44,Revenue,Client Beta
2026-06-06,Project management software,-5200,Software,
2026-06-27,Google Ads marketing,-319.77,Marketing,
2026-05-17,Internet utilities,-95.74,Utilities,
2026-03-05,Client dinner restaurant,-86.93,Meals,Client Alpha
2026-08-13,Google Ads marketing,-369.45,Marketing,
2026-08-17,Office rent,-1070.84,Rent,
2026-02-05,AWS cloud infrastructure,-160.22,Infrastructure,
2026-04-24,Google Ads marketing,-253.44,Marketing,
2026-03-03,AWS cloud infrastructure,-157.34,Infrastructure,
2026-06-21,Google Ads marketing,-354.78,Marketing,
2026-08-18,Internet utilities,-85.59,Utilities,
2026-07-03,Business travel fuel,-149.5,Travel,
2026-02-06,Google Ads marketing,-365.23,Marketing,
2026-04-30,Office rent,-1041.58,Rent,
2026-01-25,AWS cloud infrastructure,-205.57,Infrastructure,
2026-02-11,Business travel fuel,-157.46,Travel,
2026-02-11,Client dinner restaurant,-84.35,Meals,Client Alpha
2026-05-12,AWS cloud infrastructure,-173.14,Infrastructure,
2026-02-20,Google Ads marketing,-276.98,Marketing,
2026-07-04,Google Ads marketing,-248.36,Marketing,
2026-05-22,Canva subscription,-14.93,Software,
2026-01-05,AWS cloud infrastructure,-172.69,Infrastructure,
2026-06-09,Google Ads marketing,-326.09,Marketing,
2026-01-17,Client Beta invoice payment,3642.74,Revenue,Client Beta
2026-07-21,Office rent,-1112.13,Rent,
2026-01-27,Client Beta invoice payment,2906.67,Revenue,Client Beta
2026-01-11,Internet utilities,-86.44,Utilities,
2026-07-13,Client Gamma invoice payment,3025.42,Revenue,Client Gamma
2026-08-06,Business travel fuel,-156.84,Travel,
2026-03-08,AWS cloud infrastructure,-161.87,Infrastructure,
2026-05-12,Team salary payroll,-1722.48,Payroll,
2026-03-25,Client Beta invoice payment,2920.48,Revenue,Client Beta
2026-07-24,Client dinner restaurant,-77.39,Meals,Client Alpha
2026-08-18,Client Beta invoice payment,2910.11,Revenue,Client Beta
2026-01-05,Business travel fuel,-123.09,Travel,
2026-03-08,Client Beta invoice payment,3257.17,Revenue,Client Beta
2026-02-26,Client Beta invoice payment,2905.53,Revenue,Client Beta
2026-02-01,Canva subscription,-12.81,Software,
2026-05-22,AWS cloud infrastructure,-208.04,Infrastructure,
2026-03-10,Team salary payroll,-1517.5,Payroll,
2026-05-15,Client dinner restaurant,-78.94,Meals,Client Alpha
2026-01-29,Client Gamma invoice payment,2528.35,Revenue,Client Gamma
2026-02-16,Office rent,-1099.76,Rent,
2026-06-10,Google Ads marketing,-328.08,Marketing,
2026-02-22,Google Ads marketing,-319.06,Marketing,
2026-06-22,Client Gamma invoice payment,2536.04,Revenue,Client Gamma
2026-07-25,Client Alpha invoice payment,4948.38,Revenue,Client Alpha
2026-01-10,Client Alpha invoice payment,3595.55,Revenue,Client Alpha
2026-05-10,Project management software,-57.47,Software,
2026-05-12,Canva subscription,-13.97,Software,
2026-04-25,Client Beta invoice payment,3308.46,Revenue,Client Beta
2026-06-16,AWS cloud infrastructure,-192.0,Infrastructure,
2026-05-20,AWS cloud infrastructure,-210.64,Infrastructure,
2026-03-20,Client dinner restaurant,-78.29,Meals,Client Alpha
2026-02-28,Google Ads marketing,-265.51,Marketing,
2026-08-14,Client dinner restaurant,-92.69,Meals,Client Alpha
2026-02-05,AWS cloud infrastructure,-211.77,Infrastructure,
2026-01-14,Client Gamma invoice payment,2307.7,Revenue,Client Gamma
2026-06-10,Client dinner restaurant,-96.93,Meals,Client Alpha
2026-04-21,Client Gamma invoice payment,9500,Revenue,Client Gamma
2026-08-04,AWS cloud infrastructure,-204.71,Infrastructure,
2026-06-21,Google Ads marketing,-335.23,Marketing,
2026-06-27,Google Ads marketing,-276.78,Marketing,
2026-02-17,Client Gamma invoice payment,2534.71,Revenue,Client Gamma
2026-01-01,Google Ads marketing,-310.45,Marketing,
2026-03-26,Project management software,-46.88,Software,
2026-01-09,Google Ads marketing,-295.01,Marketing,
2026-02-16,Client Alpha invoice payment,4034.77,Revenue,Client Alpha
2026-01-22,Canva subscription,-14.13,Software,
2026-06-17,Office rent,-885.3,Rent,
2026-07-18,Client Alpha invoice payment,3695.92,Revenue,Client Alpha
2026-07-29,Client Beta invoice payment,2782.17,Revenue,Client Beta
2026-05-31,Client Alpha invoice payment,4116.05,Revenue,Client Alpha
2026-03-18,Google Ads marketing,-338.49,Marketing,
2026-01-22,Team salary payroll,-1982.23,Payroll,
2026-08-07,Internet utilities,-85.62,Utilities,
2026-08-17,Client dinner restaurant,-94.24,Meals,Client Alpha
2026-06-02,AWS cloud infrastructure,-198.4,Infrastructure,
2026-07-04,Canva subscription,-13.49,Software,
2026-07-05,Team salary payroll,-1805.85,Payroll,
2026-01-12,Client dinner restaurant,-97.27,Meals,Client Alpha
2026-06-10,AWS cloud infrastructure,-196.59,Infrastructure,
2026-07-27,Project management software,-43.9,Software,
2026-05-15,Internet utilities,-96.56,Utilities,
2026-08-02,Internet utilities,-81.25,Utilities,
2026-06-25,Team salary payroll,-1892.66,Payroll,
2026-07-02,Business travel fuel,-163.17,Travel,
2026-06-14,Office rent,-834.18,Rent,
2026-01-11,Client Gamma invoice payment,2862.67,Revenue,Client Gamma
2026-01-27,AWS cloud infrastructure,-202.65,Infrastructure,
2026-05-23,Client Alpha invoice payment,4440.09,Revenue,Client Alpha
